"@timestamp",stream,message
"2022-03-04 12:59:53.564",stdout,"RPL: committed seq 1582
"
"2022-03-04 12:59:53.564",stdout,"RPL: /builds/manticoresearch/dev/build/galera-build/galera_populate-prefix/src/galera_populate/gcs/src/gcs_group.cpp:gcs_group_handle_last_msg():654: New COMMIT CUT 1581 after 1581 from 0
"
"2022-03-04 12:59:53.565",stdout,"RPL: /builds/manticoresearch/dev/build/galera-build/galera_populate-prefix/src/galera_populate/galera/src/certification.cpp:purge_trxs_upto_():1044: purging index up to 1581
"
"2022-03-04 12:59:53.566",stdout,"RPL: /builds/manticoresearch/dev/build/galera-build/galera_populate-prefix/src/galera_populate/galera/src/replicator_smm.cpp:process_commit_cut():1462: Got commit cut from GCS: 1581
"
"2022-03-04 13:00:00.846",stdout,"DEBUG: AsyncNetInputBuffer_c::AppendData: error 104 (Connection reset by peer) return -1
"
"2022-03-04 13:00:04.145",stdout,"root         1 30.3 15.0 6252276 4894236 pts/0 Ssl+ 03:18 176:47 searchd --nodetach --logreplication --config /opt/config/manticore.conf
"
"2022-03-04 13:00:04.145",stdout,"root      9981  0.0  0.0  13212  1040 ?        S    13:00   0:00 grep searchd
"
"2022-03-04 13:00:04.150",stdout,"| mem_limit                   | 134217728                                                                                               |
"
"2022-03-04 13:00:04.150",stdout,"| ram_chunk_segments_count    | 8                                                                                                       |
"
"2022-03-04 13:00:04.150",stdout,"| found_rows_1min             | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""}                                |
"
"2022-03-04 13:00:04.150",stdout,"| indexed_bytes               | 175702443001                                                                                            |
"
"2022-03-04 13:00:04.150",stdout,"| disk_mapped_cached_hitlists | 0                                                                                                       |
"
"2022-03-04 13:00:04.150",stdout,"| disk_mapped_hitlists        | 0                                                                                                       |
"
"2022-03-04 13:00:04.150",stdout,"| ram_bytes_retired           | 0                                                                                                       |
"
"2022-03-04 13:00:04.150",stdout,"| query_time_total            | {""queries"":29, ""avg_sec"":0.014, ""min_sec"":0.000, ""max_sec"":0.221, ""pct95_sec"":0.117, ""pct99_sec"":0.221} |
"
