MySQL [(none)]> show status;
+--------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Counter                                    | Value                                                                                                                                                                                                   |
+--------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| uptime                                     | 438249                                                                                                                                                                                                  |
| connections                                | 263411                                                                                                                                                                                                  |
| maxed_out                                  | 0                                                                                                                                                                                                       |
| version                                    | 6.0.5 25cdec72a@230522 dev (columnar 2.0.5 24e76dd@230422) (secondary 2.0.5 24e76dd@230422)                                                                                                             |
| mysql_version                              | 6.0.5 25cdec72a@230522 dev (columnar 2.0.5 24e76dd@230422) (secondary 2.0.5 24e76dd@230422)                                                                                                             |
| command_search                             | 1908941                                                                                                                                                                                                 |
| command_excerpt                            | 0                                                                                                                                                                                                       |
| command_update                             | 0                                                                                                                                                                                                       |
| command_keywords                           | 7137                                                                                                                                                                                                    |
| command_persist                            | 0                                                                                                                                                                                                       |
| command_status                             | 2427547                                                                                                                                                                                                 |
| command_flushattrs                         | 0                                                                                                                                                                                                       |
| command_sphinxql                           | 0                                                                                                                                                                                                       |
| command_ping                               | 0                                                                                                                                                                                                       |
| command_delete                             | 12820                                                                                                                                                                                                   |
| command_set                                | 0                                                                                                                                                                                                       |
| command_insert                             | 3047666                                                                                                                                                                                                 |
| command_replace                            | 9519960                                                                                                                                                                                                 |
| command_commit                             | 26412                                                                                                                                                                                                   |
| command_suggest                            | 0                                                                                                                                                                                                       |
| command_json                               | 0                                                                                                                                                                                                       |
| command_callpq                             | 0                                                                                                                                                                                                       |
| command_cluster                            | 5                                                                                                                                                                                                       |
| command_getfield                           | 0                                                                                                                                                                                                       |
| agent_connect                              | 474                                                                                                                                                                                                     |
| agent_tfo                                  | 0                                                                                                                                                                                                       |
| agent_retry                                | 1                                                                                                                                                                                                       |
| queries                                    | 2676682                                                                                                                                                                                                 |
| dist_queries                               | 0                                                                                                                                                                                                       |
| workers_total                              | 40                                                                                                                                                                                                      |
| workers_active                             | 7                                                                                                                                                                                                       |
| workers_clients                            | 7                                                                                                                                                                                                       |
| workers_clients_vip                        | 0                                                                                                                                                                                                       |
| work_queue_length                          | 18                                                                                                                                                                                                      |
| query_wall                                 | 5736.463                                                                                                                                                                                                |
| query_cpu                                  | OFF                                                                                                                                                                                                     |
| dist_wall                                  | 0.000                                                                                                                                                                                                   |
| dist_local                                 | 0.000                                                                                                                                                                                                   |
| dist_wait                                  | 0.000                                                                                                                                                                                                   |
| query_reads                                | OFF                                                                                                                                                                                                     |
| query_readkb                               | OFF                                                                                                                                                                                                     |
| query_readtime                             | OFF                                                                                                                                                                                                     |
| avg_query_wall                             | 0.002                                                                                                                                                                                                   |
| avg_query_cpu                              | OFF                                                                                                                                                                                                     |
| avg_dist_wall                              | 0.000                                                                                                                                                                                                   |
| avg_dist_local                             | 0.000                                                                                                                                                                                                   |
| avg_dist_wait                              | 0.000                                                                                                                                                                                                   |
| avg_query_reads                            | OFF                                                                                                                                                                                                     |
| avg_query_readkb                           | OFF                                                                                                                                                                                                     |
| avg_query_readtime                         | OFF                                                                                                                                                                                                     |
| qcache_max_bytes                           | 16777216                                                                                                                                                                                                |
| qcache_thresh_msec                         | 3000                                                                                                                                                                                                    |
| qcache_ttl_sec                             | 60                                                                                                                                                                                                      |
| qcache_cached_queries                      | 0                                                                                                                                                                                                       |
| qcache_used_bytes                          | 0                                                                                                                                                                                                       |
| qcache_hits                                | 0                                                                                                                                                                                                       |
| cluster_name                               | jobsite                                                                                                                                                                                                 |
| cluster_jobsite_state_uuid                 | f3a2bdd6-c83a-11ed-807f-83721b139080                                                                                                                                                                    |
| cluster_jobsite_conf_id                    | -1                                                                                                                                                                                                      |
| cluster_jobsite_status                     | non-primary                                                                                                                                                                                             |
| cluster_jobsite_size                       | 4                                                                                                                                                                                                       |
| cluster_jobsite_local_index                | 0                                                                                                                                                                                                       |
| cluster_jobsite_node_state                 | synced                                                                                                                                                                                                  |
| cluster_jobsite_nodes_set                  | web5-l4g:9312,web3-l4g:9312,web4-l4g:9312,web2-l4g:9312,web1-l4g:9312,web3:9312,web1:9312,web4:9312,web2:9312                                                                                           |
| cluster_jobsite_nodes_view                 | web5-l4g:9312,web5-l4g:9315:replication,web3-l4g:9312,web3-l4g:9315:replication,web4-l4g:9312,web4-l4g:9315:replication,web2-l4g:9312,web2-l4g:9315:replication,web1-l4g:9312,web1-l4g:9315:replication |
| cluster_jobsite_indexes_count              | 8                                                                                                                                                                                                       |
| cluster_jobsite_indexes                    | admin_search_employers_rt,cvs,geocities,jobs,jobs_completions_custom,listings,postal_coords,requirements                                                                                                |
| cluster_jobsite_local_state_uuid           | f3a2bdd6-c83a-11ed-807f-83721b139080                                                                                                                                                                    |
| cluster_jobsite_protocol_version           | 9                                                                                                                                                                                                       |
| cluster_jobsite_last_applied               | 2699854                                                                                                                                                                                                 |
| cluster_jobsite_last_committed             | 2699854                                                                                                                                                                                                 |
| cluster_jobsite_replicated                 | 37882                                                                                                                                                                                                   |
| cluster_jobsite_replicated_bytes           | 40315743368                                                                                                                                                                                             |
| cluster_jobsite_repl_keys                  | 19639358                                                                                                                                                                                                |
| cluster_jobsite_repl_keys_bytes            | 158075064                                                                                                                                                                                               |
| cluster_jobsite_repl_data_bytes            | 9697727384                                                                                                                                                                                              |
| cluster_jobsite_repl_other_bytes           | 0                                                                                                                                                                                                       |
| cluster_jobsite_received                   | 105839                                                                                                                                                                                                  |
| cluster_jobsite_received_bytes             | 109193560943                                                                                                                                                                                            |
| cluster_jobsite_local_commits              | 37882                                                                                                                                                                                                   |
| cluster_jobsite_local_cert_failures        | 0                                                                                                                                                                                                       |
| cluster_jobsite_local_replays              | 0                                                                                                                                                                                                       |
| cluster_jobsite_local_send_queue           | 0                                                                                                                                                                                                       |
| cluster_jobsite_local_send_queue_max       | 6                                                                                                                                                                                                       |
| cluster_jobsite_local_send_queue_min       | 0                                                                                                                                                                                                       |
| cluster_jobsite_local_send_queue_avg       | 0.03079020                                                                                                                                                                                              |
| cluster_jobsite_local_recv_queue           | 0                                                                                                                                                                                                       |
| cluster_jobsite_local_recv_queue_max       | 366                                                                                                                                                                                                     |
| cluster_jobsite_local_recv_queue_min       | 0                                                                                                                                                                                                       |
| cluster_jobsite_local_recv_queue_avg       | 1.05683160                                                                                                                                                                                              |
| cluster_jobsite_local_cached_downto        | 2699838                                                                                                                                                                                                 |
| cluster_jobsite_flow_control_paused_ns     | 13416990                                                                                                                                                                                                |
| cluster_jobsite_flow_control_paused        | 0.00000003                                                                                                                                                                                              |
| cluster_jobsite_flow_control_sent          | 1                                                                                                                                                                                                       |
| cluster_jobsite_flow_control_recv          | 1                                                                                                                                                                                                       |
| cluster_jobsite_flow_control_interval      | [ 200, 200 ]                                                                                                                                                                                            |
| cluster_jobsite_flow_control_interval_low  | 200                                                                                                                                                                                                     |
| cluster_jobsite_flow_control_interval_high | 200                                                                                                                                                                                                     |
| cluster_jobsite_flow_control_status        | OFF                                                                                                                                                                                                     |
| cluster_jobsite_cert_deps_distance         | 15.671700                                                                                                                                                                                               |
| cluster_jobsite_apply_oooe                 | 0.01190233                                                                                                                                                                                              |
| cluster_jobsite_apply_oool                 | 0.000000                                                                                                                                                                                                |
| cluster_jobsite_apply_window               | 1.01190233                                                                                                                                                                                              |
| cluster_jobsite_commit_oooe                | 0.000000                                                                                                                                                                                                |
| cluster_jobsite_commit_oool                | 0.000000                                                                                                                                                                                                |
| cluster_jobsite_commit_window              | 1.00176764                                                                                                                                                                                              |
| cluster_jobsite_local_state                | 0                                                                                                                                                                                                       |
| cluster_jobsite_local_state_comment        | Initialized                                                                                                                                                                                             |
| cluster_jobsite_cert_index_size            | 19885                                                                                                                                                                                                   |
| cluster_jobsite_cert_bucket_count          | 172934                                                                                                                                                                                                  |
| cluster_jobsite_gcache_pool_size           | 384403192                                                                                                                                                                                               |
| cluster_jobsite_causal_reads               | 0                                                                                                                                                                                                       |
| cluster_jobsite_cert_interval              | 0.38454297                                                                                                                                                                                              |
| cluster_jobsite_open_transactions          | 0                                                                                                                                                                                                       |
| cluster_jobsite_open_connections           | 0                                                                                                                                                                                                       |
| cluster_jobsite_ist_receive_status         |                                                                                                                                                                                                         |
| cluster_jobsite_ist_receive_seqno_start    | 0                                                                                                                                                                                                       |
| cluster_jobsite_ist_receive_seqno_current  | 0                                                                                                                                                                                                       |
| cluster_jobsite_ist_receive_seqno_end      | 0                                                                                                                                                                                                       |
| cluster_jobsite_incoming_addresses         | web3-l4g:9312,web3-l4g:9315:replication,unspecified,web2-l4g:9312,web2-l4g:9315:replication,unspecified                                                                                                 |
| cluster_jobsite_cluster_weight             | 0                                                                                                                                                                                                       |
| cluster_jobsite_desync_count               | 0                                                                                                                                                                                                       |
| cluster_jobsite_evs_delayed                |                                                                                                                                                                                                         |
| cluster_jobsite_evs_evict_list             |                                                                                                                                                                                                         |
| cluster_jobsite_evs_repl_latency           | 0/0/0/0/0                                                                                                                                                                                               |
| cluster_jobsite_evs_state                  | OPERATIONAL                                                                                                                                                                                             |
| cluster_jobsite_gcomm_uuid                 | cbb1c6b8-f946-11ed-998e-5ae2dced1dea                                                                                                                                                                    |
+--------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
127 rows in set (0.000 sec)
