id	proto	state	host	connid	killed	last cmd
2	http	net_read	10.10.10.5:51136	17218	0	
3	http	net_read	10.10.10.7:33144	17221	0	
4	http	net_read	10.10.10.7:33158	17223	0	
5	http	net_read	127.0.0.1:42440	17225	0	
6	http	net_read	10.10.10.3:52520	17226	0	
7	http	net_read	10.10.10.5:51374	17228	0	
8	http	net_read	10.10.10.11:60498	17229	0	
9	http	net_read	10.10.10.5:51390	17230	0	
10	http	net_read	127.0.0.1:42446	17231	0	
11	http	net_read	127.0.0.1:42448	17232	0	
12	http	net_read	10.10.10.11:60512	17234	0	
13	http	net_read	10.10.10.3:52538	17235	0	
14	http	net_read	10.10.10.7:37344	17236	0	
15	http	net_read	127.0.0.1:38118	17237	0	
16	http	net_read	10.10.10.3:52544	17238	0	
17	http	net_read	10.10.10.5:51622	17239	0	
18	http	net_read	127.0.0.1:38134	17240	0	
19	http	net_read	10.10.10.5:51636	17241	0	
20	http	net_read	10.10.10.7:41896	17243	0	
21	http	net_read	10.10.10.7:41906	17244	0	
22	http	net_read	127.0.0.1:50066	17245	0	
23	http	net_read	10.10.10.3:31160	17246	0	
24	http	net_read	10.10.10.3:31172	17247	0	
25	http	net_read	10.10.10.5:51654	17250	0	
26	http	net_read	10.10.10.11:50472	17251	0	
27	http	net_read	147.135.93.205:52156	17252	0	
28	http	net_read	127.0.0.1:50074	17253	0	
29	http	net_read	10.10.10.11:50482	17256	0	
30	http	net_read	10.10.10.5:29544	17262	0	
31	http	net_read	127.0.0.1:50116	17264	0	
32	http	net_read	10.10.10.5:29562	17265	0	
33	http	net_read	10.10.10.3:64962	17266	0	
34	http	net_read	10.10.10.7:47088	17269	0	
35	http	net_read	10.10.10.3:64976	17272	0	
36	http	net_read	10.10.10.3:64980	17274	0	
37	http	net_read	10.10.10.11:57148	17279	0	
38	http	net_read	10.10.10.7:28744	17280	0	
39	http	net_read	127.0.0.1:34640	17281	0	
40	http	net_read	10.10.10.3:57156	17282	0	
41	http	net_read	127.0.0.1:62890	17286	0	
42	http	net_read	10.10.10.7:28774	17289	0	
43	http	net_read	10.10.10.7:28780	17290	0	
44	http	net_read	10.10.10.5:58184	17291	0	
45	http	net_read	10.10.10.3:30532	17292	0	
46	http	net_read	127.0.0.1:62904	17293	0	
47	http	net_read	10.10.10.11:44820	17298	0	
48	http	net_read	127.0.0.1:62930	17299	0	
49	http	net_read	10.10.10.11:44822	17300	0	
50	http	net_read	127.0.0.1:47812	17301	0	
51	http	net_read	10.10.10.7:40876	17302	0	
52	http	net_read	10.10.10.3:30564	17303	0	
53	http	net_read	10.10.10.5:58204	17305	0	
54	http	net_read	147.135.93.205:42266	17306	0	
55	http	net_read	10.10.10.5:55298	17307	0	
56	http	net_read	127.0.0.1:47828	17308	0	
57	http	net_read	10.10.10.7:63096	17310	0	
58	http	net_read	10.10.10.5:55312	17314	0	
59	http	net_read	10.10.10.3:39932	17315	0	
60	http	net_read	10.10.10.3:39940	17316	0	
61	http	net_read	10.10.10.5:55322	17317	0	
62	http	net_read	10.10.10.3:39942	17318	0	
63	http	net_read	127.0.0.1:53630	17319	0	
64	http	net_read	127.0.0.1:53632	17320	0	
65	http	net_read	127.0.0.1:53648	17322	0	
66	http	net_read	10.10.10.11:43634	17323	0	
67	http	net_read	10.10.10.11:43650	17324	0	
68	http	net_read	127.0.0.1:53654	17325	0	
69	http	net_read	10.10.10.7:63122	17326	0	
70	http	net_read	10.10.10.3:39946	17327	0	
71	http	net_read	10.10.10.5:52416	17328	0	
72	http	net_read	127.0.0.1:53668	17330	0	
73	http	net_read	10.10.10.7:64132	17332	0	
74	http	net_read	10.10.10.5:52424	17333	0	
75	http	net_read	10.10.10.7:64146	17334	0	
76	http	net_read	10.10.10.5:52436	17337	0	
77	http	net_read	10.10.10.3:51872	17338	0	
78	http	net_read	10.10.10.3:51892	17340	0	
79	http	net_read	10.10.10.11:61844	17342	0	
80	http	net_read	10.10.10.11:34788	17345	0	
81	http	net_read	127.0.0.1:42398	17348	0	
82	http	net_read	10.10.10.5:51966	17351	0	
83	http	net_read	127.0.0.1:30232	17352	0	
84	http	net_read	10.10.10.7:50074	17355	0	
85	http	net_read	10.10.10.7:50078	17357	0	
86	http	net_read	10.10.10.5:52762	17361	0	
87	http	net_read	10.10.10.3:53966	17364	0	
88	http	net_read	10.10.10.11:60418	17365	0	
89	http	net_read	10.10.10.11:60428	17367	0	
90	http	net_read	10.10.10.7:65526	17368	0	
91	http	net_read	127.0.0.1:30266	17369	0	
92	http	net_read	10.10.10.5:52782	17373	0	
93	http	net_read	10.10.10.5:52798	17374	0	
94	http	net_read	10.10.10.7:65528	17376	0	
95	http	net_read	10.10.10.7:55404	17377	0	
96	http	net_read	10.10.10.3:27206	17378	0	
97	http	net_read	127.0.0.1:29982	17380	0	
98	http	net_read	127.0.0.1:29996	17381	0	
99	http	net_read	10.10.10.7:55414	17382	0	
100	http	net_read	10.10.10.3:27208	17383	0	
101	http	net_read	127.0.0.1:30012	17385	0	
102	http	net_read	10.10.10.11:54832	17387	0	
103	http	net_read	10.10.10.3:27222	17389	0	
104	http	net_read	10.10.10.11:54846	17390	0	
105	http	net_read	10.10.10.7:55430	17391	0	
106	http	net_read	10.10.10.5:48592	17393	0	
107	http	net_read	10.10.10.5:48602	17394	0	
108	http	net_read	127.0.0.1:58026	17395	0	
109	http	net_read	10.10.10.7:32242	17398	0	
110	http	net_read	10.10.10.5:48608	17399	0	
111	http	net_read	127.0.0.1:60156	17400	0	
112	http	net_read	127.0.0.1:60172	17401	0	
113	http	net_read	10.10.10.3:31052	17403	0	
114	http	net_read	10.10.10.3:31062	17404	0	
115	http	net_read	10.10.10.7:32244	17406	0	
116	http	net_read	127.0.0.1:60186	17407	0	
117	http	net_read	10.10.10.11:33244	17408	0	
118	http	net_read	147.135.93.205:34898	17409	0	
119	http	net_read	10.10.10.3:48010	17411	0	
120	http	net_read	10.10.10.11:33356	17412	0	
121	http	net_read	10.10.10.7:33904	17414	0	
122	http	net_read	10.10.10.7:33908	17415	0	
123	http	net_read	10.10.10.5:53782	17417	0	
124	http	net_read	10.10.10.7:33922	17420	0	
125	http	net_read	10.10.10.3:48028	17421	0	
126	http	net_read	10.10.10.5:53792	17427	0	
127	http	net_read	127.0.0.1:55332	17430	0	
128	http	net_read	10.10.10.3:48038	17431	0	
129	http	net_read	10.10.10.11:43708	17432	0	
130	http	net_read	10.10.10.7:33946	17433	0	
131	http	net_read	127.0.0.1:55338	17434	0	
132	http	net_read	10.10.10.3:42020	17435	0	
133	http	net_read	147.135.93.205:28482	17438	0	
134	http	net_read	10.10.10.5:47598	17439	0	
135	http	net_read	10.10.10.5:47602	17440	0	
136	http	net_read	10.10.10.3:58160	17444	0	
137	http	net_read	10.10.10.7:61420	17446	0	
138	http	net_read	10.10.10.5:53622	17447	0	
139	http	net_read	127.0.0.1:56330	17448	0	
140	http	net_read	10.10.10.3:58174	17450	0	
141	http	net_read	10.10.10.11:27776	17451	0	
142	http	net_read	127.0.0.1:56332	17453	0	
143	http	net_read	10.10.10.7:28458	17454	0	
144	http	net_read	127.0.0.1:39076	17455	0	
145	http	net_read	10.10.10.3:58196	17456	0	
146	http	net_read	10.10.10.11:27788	17457	0	
147	http	net_read	10.10.10.7:28470	17458	0	
148	http	net_read	10.10.10.5:53624	17459	0	
149	http	net_read	10.10.10.5:42846	17460	0	
150	http	net_read	10.10.10.7:31740	17462	0	
151	http	net_read	10.10.10.5:42856	17465	0	
152	http	net_read	127.0.0.1:39102	17466	0	
153	http	net_read	10.10.10.3:38084	17467	0	
154	http	net_read	10.10.10.11:32654	17471	0	
155	http	net_read	10.10.10.3:38096	17472	0	
156	http	net_read	10.10.10.7:31754	17477	0	
157	http	net_read	10.10.10.3:38120	17478	0	
158	http	net_read	10.10.10.7:31768	17481	0	
159	http	net_read	10.10.10.5:37814	17484	0	
160	http	net_read	10.10.10.7:49092	17485	0	
161	http	net_read	127.0.0.1:44194	17487	0	
162	http	net_read	127.0.0.1:44200	17488	0	
163	http	net_read	127.0.0.1:44202	17489	0	
164	http	net_read	10.10.10.7:49108	17490	0	
165	http	net_read	10.10.10.3:40978	17491	0	
166	http	net_read	10.10.10.5:37824	17492	0	
167	http	net_read	10.10.10.5:37830	17493	0	
168	http	net_read	10.10.10.11:36550	17494	0	
169	http	net_read	10.10.10.3:40994	17495	0	
170	http	net_read	10.10.10.3:41002	17496	0	
171	http	net_read	127.0.0.1:44208	17497	0	
