+-------+------------+-------+-------+-----------------+--------+---------------+-----------+---------------+----------------+-----------+---------------+--------------+---------+---------------------------------------------------+
| Tid   | Name       | Proto | State | Host            | ConnID | Time          | Work time | Work time CPU | Thd efficiency | Jobs done | Last job took | In idle      | Chain   | Info                                              |
+-------+------------+-------+-------+-----------------+--------+---------------+-----------+---------------+----------------+-----------+---------------+--------------+---------+---------------------------------------------------+
| 23906 | work_0     |       | -     |                 |     -1 | 166901.520590 | 33m       | 0us           |          0.00% |      9287 | 124us         | 2m ago       |         |                                                   |
| 23907 | work_1     |       | -     |                 |     -1 | 166901.520559 | 34m       | 0us           |          0.00% |      9297 | 3ms           | 1m ago       |         |                                                   |
| 23908 | work_2     |       | -     |                 |     -1 | 166901.520485 | 35m       | 0us           |          0.00% |      9243 | 58us          | 1m ago       |         |                                                   |
| 23909 | work_3     |       | -     |                 |     -1 | 166901.520328 | 34m       | 0us           |          0.00% |      9279 | 3ms           | 36s ago      |         |                                                   |
| 23910 | work_4     |       | -     |                 |     -1 | 166901.520094 | 33m       | 0us           |          0.00% |      9278 | 141us         | 1m ago       |         |                                                   |
| 23911 | work_5     |       | -     |                 |     -1 | 166901.520025 | 31m       | 0us           |          0.00% |      9278 | 3ms           | 23s ago      |         |                                                   |
| 23912 | work_6     |       | -     |                 |     -1 | 166901.519978 | 29m       | 0us           |          0.00% |      9308 | 92us          | 21s ago      |         |                                                   |
| 23913 | work_7     |       | -     |                 |     -1 | 166901.519906 | 33m       | 0us           |          0.00% |      9311 | 28us          | 1m ago       |         |                                                   |
| 23914 | work_8     |       | -     |                 |     -1 | 166901.519839 | 29m       | 0us           |          0.00% |      9358 | 62us          | 3s ago       |         |                                                   |
| 23915 | work_9     |       | -     |                 |     -1 | 166901.519740 | 33m       | 0us           |          0.00% |      9312 | 156us         | 1m ago       |         |                                                   |
| 23916 | work_10    |       | -     |                 |     -1 | 166901.519680 | 34m       | 0us           |          0.00% |      9255 | 61us          | 13s ago      |         |                                                   |
| 23917 | work_11    |       | -     |                 |     -1 | 166901.519655 | 32m       | 0us           |          0.00% |      9339 | 176us         | 29s ago      |         |                                                   |
| 23918 | work_12    |       | -     |                 |     -1 | 166901.519586 | 31m       | 0us           |          0.00% |      9343 | 33us          | 1m ago       |         |                                                   |
| 23919 | work_13    | mysql | query | 127.0.0.1:30122 |  22546 |      0.000468 | 31m       | 0us           |          0.00% |      9261 | 498us         | No (working) | Conn    | show threads option format=all                    |
| 23920 | work_14    |       | -     |                 |     -1 | 166901.519421 | 34m       | 0us           |          0.00% |      9236 | 104us         | 3s ago       |         |                                                   |
| 23921 | work_15    |       | -     |                 |     -1 | 166901.519346 | 35m       | 0us           |          0.00% |      9233 | 4ms           | 54s ago      |         |                                                   |
| 23922 | work_16    |       | -     |                 |     -1 | 166901.519286 | 34m       | 0us           |          0.00% |      9274 | 104us         | 13s ago      |         |                                                   |
| 23923 | work_17    |       | -     |                 |     -1 | 166901.519245 | 34m       | 0us           |          0.00% |      9285 | 148us         | 46s ago      |         |                                                   |
| 23924 | work_18    |       | -     |                 |     -1 | 166901.519180 | 32m       | 0us           |          0.00% |      9280 | 134us         | 46s ago      |         |                                                   |
| 23925 | work_19    |       | -     |                 |     -1 | 166901.519091 | 37m       | 0us           |          0.00% |      9286 | 132us         | 2m ago       |         |                                                   |
| 23926 | work_20    |       | -     |                 |     -1 | 166901.519015 | 29m       | 0us           |          0.00% |      9297 | 4ms           | 1m ago       |         |                                                   |
| 23927 | work_21    |       | -     |                 |     -1 | 166901.518966 | 33m       | 0us           |          0.00% |      9281 | 3ms           | 2m ago       |         |                                                   |
| 23928 | work_22    |       | -     |                 |     -1 | 166901.518906 | 32m       | 0us           |          0.00% |      9296 | 135us         | 46s ago      |         |                                                   |
| 23929 | work_23    |       | -     |                 |     -1 | 166901.518857 | 33m       | 0us           |          0.00% |      9314 | 455us         | 46s ago      |         |                                                   |
| 23930 | work_24    |       | -     |                 |     -1 | 166901.518760 | 35m       | 0us           |          0.00% |      9294 | 279us         | 3s ago       |         |                                                   |
| 23931 | work_25    |       | -     |                 |     -1 | 166901.518730 | 29m       | 0us           |          0.00% |      9325 | 109us         | 1m ago       |         |                                                   |
| 23932 | work_26    |       | -     |                 |     -1 | 166901.518666 | 31m       | 0us           |          0.00% |      9341 | 35us          | 21s ago      |         |                                                   |
| 23933 | work_27    |       | -     |                 |     -1 | 166901.518606 | 34m       | 0us           |          0.00% |      9291 | 3ms           | 6s ago       |         |                                                   |
| 23937 | TickPool_0 |       | -     |                 |     -1 | 166900.458650 | 19s       | 0us           |          0.00% |         0 | 711us         | No (working) | Listen  | tick:  107659  works:  0  state:  remove outdated |
| 23934 | TaskSched  |       | -     |                 |     -1 | 166901.517807 | 7s        | 0us           |          0.00% |     45098 | 1d            | No (working) |         |                                                   |
+-------+------------+-------+-------+-----------------+--------+---------------+-----------+---------------+----------------+-----------+---------------+--------------+---------+---------------------------------------------------+
30 rows in set (0.00 sec)
