  Id   Target Id                          Frame 
* 1    Thread 0x7fdbfcddb700 (LWP 124796) 0x0000000000000000 in ?? ()
  2    Thread 0x7fdbfcfca700 (LWP 124781) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  3    Thread 0x7fdbfd02e800 (LWP 124777) 0x00007fdbfd147fcb in __GI___select (nfds=0, readfds=0x0, writefds=0x0, exceptfds=0x0, timeout=0x7ffe6e101d48) at ../sysdeps/unix/sysv/linux/select.c:41
  4    Thread 0x7fdbfd00c700 (LWP 124779) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  5    Thread 0x7fdbfcfa9700 (LWP 124782) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  6    Thread 0x7fdbfcfeb700 (LWP 124780) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  7    Thread 0x7fdbfcf88700 (LWP 124783) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  8    Thread 0x7fdbfcf46700 (LWP 124785) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  9    Thread 0x7fdbfcf25700 (LWP 124786) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  10   Thread 0x7fdbfcb26700 (LWP 124817) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  11   Thread 0x7fdbfcec2700 (LWP 124789) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  12   Thread 0x7fdbfcf04700 (LWP 124787) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  13   Thread 0x7fdbfce3e700 (LWP 124793) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  14   Thread 0x7fdbfcea1700 (LWP 124790) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  15   Thread 0x7fdbfce80700 (LWP 124791) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  16   Thread 0x7fd9e81ba700 (LWP 125120) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x7fdb7002fde0) at ../sysdeps/nptl/futex-internal.h:183
  17   Thread 0x7fdbfcf67700 (LWP 124784) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  18   Thread 0x7fdbfce1d700 (LWP 124794) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  19   Thread 0x7fdbfd02d700 (LWP 124778) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  20   Thread 0x7fdbfcdfc700 (LWP 124795) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
