+-------+------------+-------+-------+-----------------+--------+--------------+-----------+---------------+----------------+-----------+---------------+--------------+----------------------------------------------+
| Tid   | Name       | Proto | State | Host            | ConnID | Time         | Work time | Work time CPU | Thd efficiency | Jobs done | Last job took | In idle      | Info                                         |
+-------+------------+-------+-------+-----------------+--------+--------------+-----------+---------------+----------------+-----------+---------------+--------------+----------------------------------------------+
| 39460 | work_0     |       | -     |                 |     -1 | 78676.841161 | 3h        | 0us           |          0.00% | 245423972 | 12us          | 497us ago    |                                              |
| 39461 | work_1     |       | -     |                 |     -1 | 78676.841121 | 3h        | 0us           |          0.00% | 246090628 | 56us          | 493us ago    |                                              |
| 39462 | work_2     | mysql | query | 127.0.0.1:62658 |  25982 |     0.000381 | 3h        | 0us           |          0.00% | 246173823 | 399us         | No (working) | show threads option format=all               |
| 39463 | work_3     |       | -     |                 |     -1 | 78676.840652 | 3h        | 0us           |          0.00% | 245975306 | 23us          | 333us ago    |                                              |
| 39464 | work_4     |       | -     |                 |     -1 | 78676.840511 | 3h        | 0us           |          0.00% | 245840941 | 300us         | No (working) |                                              |
| 39465 | work_5     |       | -     |                 |     -1 | 78676.840410 | 2h        | 0us           |          0.00% | 246344304 | 27us          | 812us ago    |                                              |
| 39466 | work_6     |       | -     |                 |     -1 | 78676.840369 | 3h        | 0us           |          0.00% | 247020189 | 0us           | 261us ago    |                                              |
| 39467 | work_7     |       | -     |                 |     -1 | 78676.840235 | 3h        | 0us           |          0.00% | 247080480 | 6us           | 709us ago    |                                              |
| 39468 | work_8     |       | -     |                 |     -1 | 78676.840188 | 3h        | 0us           |          0.00% | 246612871 | 713us         | No (working) |                                              |
| 39469 | work_9     |       | -     |                 |     -1 | 78676.840108 | 3h        | 0us           |          0.00% | 244529006 | 37us          | 315us ago    |                                              |
| 39470 | work_10    |       | -     |                 |     -1 | 78676.840003 | 3h        | 0us           |          0.00% | 245796918 | 488us         | No (working) |                                              |
| 39471 | work_11    |       | -     |                 |     -1 | 78676.839925 | 3h        | 0us           |          0.00% | 246784533 | 8us           | 237us ago    |                                              |
| 39472 | work_12    |       | -     |                 |     -1 | 78676.839865 | 2h        | 0us           |          0.00% | 246374026 | 15us          | 236us ago    |                                              |
| 39473 | work_13    |       | -     |                 |     -1 | 78676.839811 | 3h        | 0us           |          0.00% | 246946224 | 8us           | 612us ago    |                                              |
| 39474 | work_14    |       | -     |                 |     -1 | 78676.839697 | 3h        | 0us           |          0.00% | 246445709 | 2us           | 207us ago    |                                              |
| 39475 | work_15    |       | -     |                 |     -1 | 78676.839644 | 2h        | 0us           |          0.00% | 246910650 | 354us         | No (working) |                                              |
| 39476 | work_16    |       | -     |                 |     -1 | 78676.839590 | 3h        | 0us           |          0.00% | 246709919 | 354us         | No (working) |                                              |
| 39477 | work_17    |       | -     |                 |     -1 | 78676.839522 | 3h        | 0us           |          0.00% | 246961013 | 6us           | 118us ago    |                                              |
| 39478 | work_18    |       | -     |                 |     -1 | 78676.839409 | 2h        | 0us           |          0.00% | 247448634 | 1us           | 815us ago    |                                              |
| 39479 | work_19    |       | -     |                 |     -1 | 78676.839335 | 3h        | 0us           |          0.00% | 247365987 | 572us         | No (working) |                                              |
| 39480 | work_20    |       | -     |                 |     -1 | 78676.839235 | 3h        | 0us           |          0.00% | 246279402 | 7us           | 265us ago    |                                              |
| 39481 | work_21    |       | -     |                 |     -1 | 78676.839155 | 3h        | 0us           |          0.00% | 245989989 | 135us         | No (working) |                                              |
| 39482 | work_22    |       | -     |                 |     -1 | 78676.839088 | 3h        | 0us           |          0.00% | 245481483 | 122us         | No (working) |                                              |
| 39483 | work_23    |       | -     |                 |     -1 | 78676.839033 | 3h        | 0us           |          0.00% | 246880829 | 11us          | 526us ago    |                                              |
| 39484 | work_24    |       | -     |                 |     -1 | 78676.838951 | 3h        | 0us           |          0.00% | 246098103 | 124us         | No (working) |                                              |
| 39485 | work_25    |       | -     |                 |     -1 | 78676.838890 | 3h        | 0us           |          0.00% | 247180472 | 540us         | No (working) |                                              |
| 39486 | work_26    |       | -     |                 |     -1 | 78676.838844 | 3h        | 0us           |          0.00% | 247073464 | 574us         | No (working) |                                              |
| 39487 | work_27    |       | -     |                 |     -1 | 78676.838752 | 2h        | 0us           |          0.00% | 246337619 | 3us           | 230us ago    |                                              |
| 39491 | TickPool_0 |       | -     |                 |     -1 | 78675.425022 | 5s        | 0us           |          0.00% |         0 | 66us          | 3ms ago      | tick:  112794  works:  0  state:  in polling |
| 39488 | TaskSched  |       | -     |                 |     -1 | 78676.838039 | 11s       | 0us           |          0.00% |     68552 | 3h            | No (working) |                                              |
+-------+------------+-------+-------+-----------------+--------+--------------+-----------+---------------+----------------+-----------+---------------+--------------+----------------------------------------------+
30 rows in set (0.01 sec)
