+-------+------------+-------+-------+-----------------+--------+--------------+-----------+---------------+----------------+-----------+---------------+--------------+----------------------------------------------+
| Tid   | Name       | Proto | State | Host            | ConnID | Time         | Work time | Work time CPU | Thd efficiency | Jobs done | Last job took | In idle      | Info                                         |
+-------+------------+-------+-------+-----------------+--------+--------------+-----------+---------------+----------------+-----------+---------------+--------------+----------------------------------------------+
| 39460 | work_0     |       | -     |                 |     -1 | 84879.318316 | 4h        | 0us           |          0.00% | 315636553 | 7us           | 383us ago    |                                              |
| 39461 | work_1     |       | -     |                 |     -1 | 84879.318281 | 4h        | 0us           |          0.00% | 316441123 | 339us         | No (working) |                                              |
| 39462 | work_2     |       | -     |                 |     -1 | 84879.318178 | 3h        | 0us           |          0.00% | 316496045 | 657us         | No (working) |                                              |
| 39463 | work_3     |       | -     |                 |     -1 | 84879.317817 | 3h        | 0us           |          0.00% | 316388919 | 352us         | No (working) |                                              |
| 39464 | work_4     |       | -     |                 |     -1 | 84879.317702 | 4h        | 0us           |          0.00% | 316158411 | 800us         | No (working) |                                              |
| 39465 | work_5     |       | -     |                 |     -1 | 84879.317603 | 4h        | 0us           |          0.00% | 316695000 | 515us         | No (working) |                                              |
| 39466 | work_6     |       | -     |                 |     -1 | 84879.317565 | 4h        | 0us           |          0.00% | 317578834 | 10us          | 753us ago    |                                              |
| 39467 | work_7     |       | -     |                 |     -1 | 84879.317434 | 3h        | 0us           |          0.00% | 317396347 | 8us           | 928us ago    |                                              |
| 39468 | work_8     |       | -     |                 |     -1 | 84879.317389 | 4h        | 0us           |          0.00% | 316963638 | 1ms           | No (working) |                                              |
| 39469 | work_9     |       | -     |                 |     -1 | 84879.317311 | 3h        | 0us           |          0.00% | 314639299 | 10us          | 314us ago    |                                              |
| 39470 | work_10    |       | -     |                 |     -1 | 84879.317206 | 4h        | 0us           |          0.00% | 315970368 | 6us           | 699us ago    |                                              |
| 39471 | work_11    |       | -     |                 |     -1 | 84879.317128 | 4h        | 0us           |          0.00% | 317077416 | 3us           | 316us ago    |                                              |
| 39472 | work_12    |       | -     |                 |     -1 | 84879.317068 | 3h        | 0us           |          0.00% | 316635887 | 26us          | 707us ago    |                                              |
| 39473 | work_13    |       | -     |                 |     -1 | 84879.317014 | 3h        | 0us           |          0.00% | 317389560 | 364us         | No (working) |                                              |
| 39474 | work_14    |       | -     |                 |     -1 | 84879.316900 | 4h        | 0us           |          0.00% | 316763212 | 1us           | 711us ago    |                                              |
| 39475 | work_15    |       | -     |                 |     -1 | 84879.316847 | 4h        | 0us           |          0.00% | 317217134 | 6us           | 359us ago    |                                              |
| 39476 | work_16    |       | -     |                 |     -1 | 84879.316793 | 3h        | 0us           |          0.00% | 317216649 | 1us           | 366us ago    |                                              |
| 39477 | work_17    |       | -     |                 |     -1 | 84879.316726 | 3h        | 0us           |          0.00% | 317497972 | 198us         | No (working) |                                              |
| 39478 | work_18    |       | -     |                 |     -1 | 84879.316646 | 3h        | 0us           |          0.00% | 317959583 | 16us          | 243us ago    |                                              |
| 39479 | work_19    |       | -     |                 |     -1 | 84879.316580 | 3h        | 0us           |          0.00% | 317826857 | 2us           | 338us ago    |                                              |
| 39480 | work_20    |       | -     |                 |     -1 | 84879.316485 | 3h        | 0us           |          0.00% | 316581957 | 325us         | No (working) |                                              |
| 39481 | work_21    | mysql | query | 127.0.0.1:64036 |  27038 |     0.000727 | 4h        | 0us           |          0.00% | 316220691 | 750us         | No (working) | show threads option format=all               |
| 39482 | work_22    |       | -     |                 |     -1 | 84879.316344 | 3h        | 0us           |          0.00% | 315930269 | 2us           | 664us ago    |                                              |
| 39483 | work_23    |       | -     |                 |     -1 | 84879.316295 | 4h        | 0us           |          0.00% | 317145816 | 2ms           | No (working) |                                              |
| 39484 | work_24    |       | -     |                 |     -1 | 84879.316214 | 4h        | 0us           |          0.00% | 316434924 | 262us         | No (working) |                                              |
| 39485 | work_25    |       | -     |                 |     -1 | 84879.316155 | 3h        | 0us           |          0.00% | 317542764 | 243us         | No (working) |                                              |
| 39486 | work_26    |       | -     |                 |     -1 | 84879.316110 | 3h        | 0us           |          0.00% | 317651891 | 804us         | No (working) |                                              |
| 39487 | work_27    |       | -     |                 |     -1 | 84879.316023 | 4h        | 0us           |          0.00% | 316788730 | 9us           | 693us ago    |                                              |
| 39491 | TickPool_0 |       | -     |                 |     -1 | 84877.902295 | 5s        | 0us           |          0.00% |         0 | 102us         | 4ms ago      | tick:  114221  works:  0  state:  in polling |
| 39488 | TaskSched  |       | -     |                 |     -1 | 84879.315313 | 11s       | 0us           |          0.00% |     68552 | 5h            | No (working) |                                              |
+-------+------------+-------+-------+-----------------+--------+--------------+-----------+---------------+----------------+-----------+---------------+--------------+----------------------------------------------+
30 rows in set (0.00 sec)
