+-------+------------+-------+-------+----------------+--------+-------------+-----------+---------------+----------------+-----------+---------------+--------------+--------------------------------------------+
| Tid   | Name       | Proto | State | Host           | ConnID | Time        | Work time | Work time CPU | Thd efficiency | Jobs done | Last job took | In idle      | Info                                       |
+-------+------------+-------+-------+----------------+--------+-------------+-----------+---------------+----------------+-----------+---------------+--------------+--------------------------------------------+
| 45146 | work_0     |       | -     |                |     -1 | 1133.072030 | 72ms      | 0us           |          0.00% |       802 | 45us          | 1s ago       |                                            |
| 45147 | work_1     |       | -     |                |     -1 | 1133.072008 | 77ms      | 0us           |          0.00% |       743 | 29us          | 5s ago       |                                            |
| 45148 | work_2     |       | -     |                |     -1 | 1133.071982 | 2s        | 0us           |          0.00% |       701 | 67us          | 5s ago       |                                            |
| 45149 | work_3     |       | -     |                |     -1 | 1133.071697 | 65ms      | 0us           |          0.00% |       771 | 12us          | 988ms ago    |                                            |
| 45150 | work_4     |       | -     |                |     -1 | 1133.071582 | 78ms      | 0us           |          0.00% |       728 | 31us          | 5s ago       |                                            |
| 45151 | work_5     |       | -     |                |     -1 | 1133.071531 | 94ms      | 0us           |          0.00% |       684 | 27us          | 4s ago       |                                            |
| 45152 | work_6     |       | -     |                |     -1 | 1133.071470 | 92ms      | 0us           |          0.00% |       733 | 26us          | 1s ago       |                                            |
| 45153 | work_7     |       | -     |                |     -1 | 1133.071423 | 85ms      | 0us           |          0.00% |       726 | 31us          | 4s ago       |                                            |
| 45154 | work_8     |       | -     |                |     -1 | 1133.071320 | 13s       | 0us           |          0.00% |       195 | 35us          | 2s ago       |                                            |
| 45155 | work_9     |       | -     |                |     -1 | 1133.071170 | 85ms      | 0us           |          0.00% |       749 | 5ms           | 1s ago       |                                            |
| 45156 | work_10    |       | -     |                |     -1 | 1133.071102 | 81ms      | 0us           |          0.00% |       795 | 28us          | 5s ago       |                                            |
| 45157 | work_11    |       | -     |                |     -1 | 1133.071024 | 77ms      | 0us           |          0.00% |       708 | 26us          | 3s ago       |                                            |
| 45158 | work_12    |       | -     |                |     -1 | 1133.070962 | 88ms      | 0us           |          0.00% |       681 | 31us          | 2s ago       |                                            |
| 45159 | work_13    |       | -     |                |     -1 | 1133.070890 | 180ms     | 0us           |          0.00% |       754 | 28us          | 2s ago       |                                            |
| 45160 | work_14    |       | -     |                |     -1 | 1133.070771 | 78ms      | 0us           |          0.00% |       725 | 2ms           | 516ms ago    |                                            |
| 45161 | work_15    |       | -     |                |     -1 | 1133.070710 | 80ms      | 0us           |          0.00% |       710 | 27us          | 2s ago       |                                            |
| 45162 | work_16    |       | -     |                |     -1 | 1133.070631 | 210ms     | 0us           |          0.00% |       786 | 48us          | 4s ago       |                                            |
| 45163 | work_17    |       | -     |                |     -1 | 1133.070561 | 77ms      | 0us           |          0.00% |       658 | 28us          | 3s ago       |                                            |
| 45164 | work_18    |       | -     |                |     -1 | 1133.070509 | 76ms      | 0us           |          0.00% |       738 | 177us         | 1s ago       |                                            |
| 45165 | work_19    |       | -     |                |     -1 | 1133.070388 | 78ms      | 0us           |          0.00% |       699 | 95us          | 1s ago       |                                            |
| 45166 | work_20    |       | -     |                |     -1 | 1133.070334 | 87ms      | 0us           |          0.00% |       735 | 61us          | 3s ago       |                                            |
| 45167 | work_21    |       | -     |                |     -1 | 1133.070247 | 85ms      | 0us           |          0.00% |       733 | 14us          | 3s ago       |                                            |
| 45168 | work_22    |       | -     |                |     -1 | 1133.070191 | 81ms      | 0us           |          0.00% |       736 | 28us          | 487ms ago    |                                            |
| 45169 | work_23    |       | -     |                |     -1 | 1133.070119 | 81ms      | 0us           |          0.00% |       737 | 5ms           | 1s ago       |                                            |
| 45170 | work_24    |       | -     |                |     -1 | 1133.070034 | 73ms      | 0us           |          0.00% |       716 | 28us          | 515ms ago    |                                            |
| 45171 | work_25    |       | -     |                |     -1 | 1133.069965 | 75ms      | 0us           |          0.00% |       713 | 31us          | 7s ago       |                                            |
| 45172 | work_26    |       | -     |                |     -1 | 1133.069918 | 81ms      | 0us           |          0.00% |       791 | 27us          | 4s ago       |                                            |
| 45173 | work_27    | mysql | query | 127.0.0.1:1058 |    242 |    0.000474 | 65ms      | 0us           |          0.00% |       686 | 500us         | No (working) | show threads option format=all             |
| 45177 | TickPool_0 |       | -     |                |     -1 | 1131.483641 | 57ms      | 0us           |          0.00% |         0 | 42us          | 592us ago    | tick:  1656  works:  0  state:  in polling |
| 45179 | TaskW_2    |       | -     |                |     -1 | 1130.484314 | 222ms     | 0us           |          0.00% |       575 | 2ms           | 516ms ago    |                                            |
| 45175 | TaskW_1    |       | -     |                |     -1 | 1133.002174 | 13s       | 0us           |          0.00% |       591 | 129us         | 2s ago       |                                            |
| 45174 | TaskSched  |       | -     |                |     -1 | 1133.068993 | 159ms     | 0us           |          0.00% |      1134 | 183us         | 515ms ago    |                                            |
+-------+------------+-------+-------+----------------+--------+-------------+-----------+---------------+----------------+-----------+---------------+--------------+--------------------------------------------+
32 rows in set (0.00 sec)
