+-------+------------+-------+-------+-----------------+--------+----------------+-----------+---------------+----------------+-----------+---------------+--------------+---------+-----------------------------------------------+
| Tid   | Name       | Proto | State | Host            | ConnID | Time           | Work time | Work time CPU | Thd efficiency | Jobs done | Last job took | In idle      | Chain   | Info                                          |
+-------+------------+-------+-------+-----------------+--------+----------------+-----------+---------------+----------------+-----------+---------------+--------------+---------+-----------------------------------------------+
| 34133 | work_0     |       | -     |                 |     -1 | 1018580.980961 | 7h        | 0us           |          0.00% |    139629 | 132us         | 2m ago       |         |                                               |
| 34134 | work_1     |       | -     |                 |     -1 | 1018580.980974 | 7h        | 0us           |          0.00% |    139474 | 34us          | 54s ago      |         |                                               |
| 34135 | work_2     |       | -     |                 |     -1 | 1018580.980812 | 7h        | 0us           |          0.00% |    139675 | 45us          | 3s ago       |         |                                               |
| 34136 | work_3     |       | -     |                 |     -1 | 1018580.980847 | 7h        | 0us           |          0.00% |    139657 | 99us          | 40s ago      |         |                                               |
| 34137 | work_4     |       | -     |                 |     -1 | 1018580.980681 | 7h        | 0us           |          0.00% |    139564 | 129us         | 3s ago       |         |                                               |
| 34138 | work_5     |       | -     |                 |     -1 | 1018580.980579 | 7h        | 0us           |          0.00% |    139581 | 105us         | 2m ago       |         |                                               |
| 34139 | work_6     |       | -     |                 |     -1 | 1018580.980487 | 7h        | 0us           |          0.00% |    139565 | 28us          | 16s ago      |         |                                               |
| 34140 | work_7     |       | -     |                 |     -1 | 1018580.980426 | 7h        | 0us           |          0.00% |    139688 | 47us          | 2m ago       |         |                                               |
| 34141 | work_8     |       | -     |                 |     -1 | 1018580.980343 | 7h        | 0us           |          0.00% |    139622 | 3ms           | 54s ago      |         |                                               |
| 34142 | work_9     |       | -     |                 |     -1 | 1018580.980207 | 7h        | 0us           |          0.00% |    139630 | 208us         | 16s ago      |         |                                               |
| 34143 | work_10    |       | -     |                 |     -1 | 1018580.980156 | 7h        | 0us           |          0.00% |    139543 | 621us         | 1m ago       |         |                                               |
| 34144 | work_11    |       | -     |                 |     -1 | 1018580.980107 | 7h        | 0us           |          0.00% |    139736 | 35us          | 43s ago      |         |                                               |
| 34145 | work_12    |       | -     |                 |     -1 | 1018580.980044 | 7h        | 0us           |          0.00% |    139714 | 106us         | 42s ago      |         |                                               |
| 34146 | work_13    |       | -     |                 |     -1 | 1018580.979997 | 7h        | 0us           |          0.00% |    139526 | 271us         | 42s ago      |         |                                               |
| 34147 | work_14    |       | -     |                 |     -1 | 1018580.979916 | 7h        | 0us           |          0.00% |    139657 | 3ms           | 2m ago       |         |                                               |
| 34148 | work_15    |       | -     |                 |     -1 | 1018580.979869 | 7h        | 0us           |          0.00% |    139696 | 147us         | 43s ago      |         |                                               |
| 34149 | work_16    |       | -     |                 |     -1 | 1018580.979815 | 7h        | 0us           |          0.00% |    139597 | 4ms           | 1m ago       |         |                                               |
| 34150 | work_17    |       | -     |                 |     -1 | 1018580.979766 | 7h        | 0us           |          0.00% |    139514 | 160us         | 39s ago      |         |                                               |
| 34151 | work_18    |       | -     |                 |     -1 | 1018580.979681 | 7h        | 0us           |          0.00% |    139571 | 176us         | 40s ago      |         |                                               |
| 34152 | work_19    |       | -     |                 |     -1 | 1018580.979580 | 7h        | 0us           |          0.00% |    139618 | 69us          | 1m ago       |         |                                               |
| 34153 | work_20    |       | -     |                 |     -1 | 1018580.979500 | 7h        | 0us           |          0.00% |    139455 | 75us          | 42s ago      |         |                                               |
| 34154 | work_21    |       | -     |                 |     -1 | 1018580.979461 | 7h        | 0us           |          0.00% |    139711 | 4ms           | 24s ago      |         |                                               |
| 34155 | work_22    |       | -     |                 |     -1 | 1018580.979388 | 7h        | 0us           |          0.00% |    139570 | 110us         | 32s ago      |         |                                               |
| 34156 | work_23    |       | -     |                 |     -1 | 1018580.979315 | 7h        | 0us           |          0.00% |    139512 | 60us          | 40s ago      |         |                                               |
| 34157 | work_24    |       | -     |                 |     -1 | 1018580.979205 | 7h        | 0us           |          0.00% |    139551 | 183us         | 3s ago       |         |                                               |
| 34158 | work_25    | mysql | query | 127.0.0.1:16006 | 160286 |       0.006001 | 7h        | 0us           |          0.00% |    139586 | 6ms           | No (working) | Conn    | show threads option format=all                |
| 34159 | work_26    |       | -     |                 |     -1 | 1018580.979095 | 7h        | 0us           |          0.00% |    139450 | 58us          | 39s ago      |         |                                               |
| 34160 | work_27    |       | -     |                 |     -1 | 1018580.979043 | 7h        | 0us           |          0.00% |    139408 | 88us          | 42s ago      |         |                                               |
| 34164 | TickPool_0 |       | -     |                 |     -1 | 1018579.618319 | 2m        | 0us           |          0.00% |         0 | 3ms           | 3ms ago      | Listen  | tick:  1309011  works:  0  state:  in polling |
| 34161 | TaskSched  |       | -     |                 |     -1 | 1018580.978361 | 2m        | 0us           |          0.00% |    732416 | 3d            | No (working) |         |                                               |
+-------+------------+-------+-------+-----------------+--------+----------------+-----------+---------------+----------------+-----------+---------------+--------------+---------+-----------------------------------------------+
