You did not select any stats, using -cdngy by default.
--total-cpu-usage-- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai stl| read  writ| recv  send|  in   out | int   csw 
  6   2  93   0   0| 443k   76M|   0     0 |   0     0 |  58k   62k
 10   1  89   0   0|   0    10M| 982k 5846k|   0     0 |  63k   59k
 10   1  89   0   0|   0    28M| 827k 5756k|   0     0 |  54k   46k
 11   1  88   0   0|   0  3552k| 919k 5654k|   0     0 |  61k   61k
 12   1  87   0   0|   0  2525k| 797k 5249k|   0     0 |  60k   57k
 10   1  89   0   0|   0  4661k| 932k 5172k|   0     0 |  61k   55k
 11   1  88   0   0|   0  2784k|1065k 5568k|   0     0 |  63k   58k
 11   1  87   0   0|   0    36M|1273k 5834k|   0     0 |  65k   61k
 12   1  86   0   0|   0  2736k| 896k 5853k|   0     0 |  66k   65k
 11   1  88   0   0|   0  2848k|1276k 7662k|   0     0 |  74k   66k
 11   1  88   0   0|   0  4208k|1119k 5901k|   0     0 |  68k   61k
 10   2  88   0   0|   0  1909k| 911k 6604k|   0     0 |  66k   63k
 10   1  89   0   0|   0  1374k| 859k 6248k|   0     0 |  60k   57k
  9   1  89   0   0|   0  2643k| 913k 5142k|   0     0 |  57k   48k
  9   1  89   0   0|   0  1080k|1125k 5619k|   0     0 |  60k   48k
 10   1  88   0   0|   0  3402k| 964k 6271k|   0     0 |  64k   59k
 11   2  88   0   0|   0  6661k|1067k 6136k|   0     0 |  64k   58k
 11   1  88   0   0|   0   142M|1131k 5464k|   0     0 |  64k   55k
 12   1  87   0   0|   0   247M|1077k 5579k|   0     0 |  64k   53k
 10   1  88   0   0|   0   453M| 939k 5509k|   0     0 |  58k   52k
 10   1  89   0   0|   0   516M| 985k 4573k|   0     0 |  56k   47k
 10   2  88   0   0|   0   414M|1171k 6425k|   0     0 |  68k   61k
  9   1  90   0   0|   0    41M|1223k 5536k|   0     0 |  61k   52k
  9   1  89   0   0|   0  8255k|1040k 6012k|   0     0 |  61k   55k
 10   1  89   0   0|   0  3323k| 819k 5272k|   0     0 |  56k   53k
  9   1  90   0   0|   0  4290k| 958k 5753k|   0     0 |  60k   54k
 13   1  86   0   0|   0  3696k| 958k 5052k|   0     0 |  61k   51k
 13   1  85   0   0|   0    45M| 983k 5345k|   0     0 |  61k   53k
 10   1  89   0   0|   0  5536k|1244k 5233k|   0     0 |  60k   49k
 10   1  89   0   0|   0  4053k|1173k 6182k|   0     0 |  61k   55k
  9   1  89   0   0|   0  4843k| 906k 5389k|   0     0 |  59k   53k
 10   1  89   0   0|   0  3632k| 912k 5452k|   0     0 |  59k   52k
 10   1  89   0   0|   0    44M|1292k 5373k|   0     0 |  63k   54k
 10   1  89   0   0|   0  5507k|1047k 5467k|   0     0 |  61k   54k
  9   1  89   0   0|   0  6096k|1043k 7116k|   0     0 |  62k   60k
  9   1  89   0   0|   0  4658k| 909k 5371k|   0     0 |  58k   54k
  9   1  90   0   0|  32k 6592k|1178k 7374k|   0     0 |  60k   52k
 10   1  89   0   0|  32k   41M|1545k 5948k|   0     0 |  70k   58k
 10   1  88   0   0|   0  3731k|1120k 6019k|   0     0 |  65k   59k
  9   1  89   0   0|   0  3808k| 861k 5011k|   0     0 |  56k   49k
  9   1  90   0   0|   0  3450k| 917k 5420k|   0     0 |  58k   52k
  9   1  89   0   0|   0  6680k|1193k 5501k|   0     0 |  59k   53k
 10   1  89   0   0|   0    38M| 936k 5229k|   0     0 |  58k   51k
  9   1  90   0   0|   0  7011k| 837k 4410k|   0     0 |  53k   46k
  9   1  90   0   0|   0  3328k|1001k 5924k|   0     0 |  61k   55k
 10   1  89   0   0|   0  5238k|1202k 5748k|   0     0 |  60k   54k
  9   1  89   0   0|   0  4464k| 940k 5309k|   0     0 |  56k   50k
 10   1  89   0   0|   0  4248k|1297k 5674k|   0     0 |  68k   57k
  9   1  89   0   0|   0  5342k|1325k 6451k|   0     0 |  69k   57k
 10   1  89   0   0|   0  4928k|1050k 5567k|   0     0 |  61k   55k
 10   1  89   0   0|   0  4789k|1009k 5406k|   0     0 |  59k   54k
  9   1  89   0   0|   0  6691k|1244k 5878k|   0     0 |  61k   58k
  9   1  90   0   0|   0  4485k| 978k 5189k|   0     0 |  54k   49k
 10   1  89   0   0|   0   104M|2015k 7030k|   0     0 |  76k   82k
  9   1  89   0   0|   0    67M|2850k 7241k|   0     0 |  88k  104k
 10   1  89   0   0|   0    12M|1280k 5388k|   0     0 |  58k   58k
 10   1  89   0   0|   0  5152k| 985k 5730k|   0     0 |  57k   54k
  9   1  89   0   0|   0  4381k|1168k 6164k|   0     0 |  65k   59k
 10   1  89   0   0|   0    41M|1276k 5546k|   0     0 |  64k   55k
  9   1  90   0   0|   0    12M|1261k 5673k|   0     0 |  60k   57k
 10   1  89   0   0|   0  4472k|1187k 5988k|   0     0 |  63k   58k
 10   1  89   0   0|   0  5840k|1105k 5764k|   0     0 |  60k   56k
 10   1  89   0   0|   0  4093k| 962k 5145k|   0     0 |  57k   51k
 10   1  89   0   0|   0  4851k|1156k 5078k|   0     0 |  55k   52k
 10   1  89   0   0|   0  5792k| 951k 5647k|   0     0 |  57k   55k
  9   1  89   0   0|   0  5282k| 986k 6000k|   0     0 |  61k   59k
 11   1  88   0   0|   0  5168k|1159k 5331k|   0     0 |  58k   52k
 11   1  88   0   0|   0  3768k|1029k 5814k|   0     0 |  60k   58k
 10   1  89   0   0|   0    72M|1439k 6306k|   0     0 |  65k   56k
 10   1  88   0   0|   0  5168k| 984k 5474k|   0     0 |  58k   53k
 10   1  89   0   0|   0  7232k| 982k 5132k|   0     0 |  57k   51k
 10   1  88   0   0|   0  5200k|1246k 5678k|   0     0 |  61k   58k
 10   1  89   0   0|   0  3992k|1149k 6083k|   0     0 |  63k   59k
 11   1  88   0   0|   0    43M| 923k 5807k|   0     0 |  59k   57k
 11   1  87   0   0|   0  5651k| 929k 5030k|   0     0 |  56k   50k
  9   2  89   0   0|   0  5231k| 927k 6261k|   0     0 |  61k   62k
 12   2  86   0   0|   0    11M|1314k 5700k|   0     0 |  65k   59k
  9   1  89   0   0|   0  7692k|1037k 5393k|   0     0 |  60k   58k
 10   1  89   0   0|   0  6766k|1436k 6193k|   0     0 |  68k   58k
  9   1  89   0   0|   0    10M|1393k 5517k|   0     0 |  61k   56k
 10   1  89   0   0|   0  7232k|1174k 5743k|   0     0 |  58k   52k
  9   1  90   0   0|   0  7898k| 972k 5489k|   0     0 |  57k   55k
 10   1  89   0   0|   0    55M| 946k 5170k|   0     0 |  56k   53k
  9   1  89   0   0|   0   300M| 915k 5284k|   0     0 |  55k   52k
 10   1  88   0   0|   0   427M|1006k 5366k|   0     0 |  56k   53k
 10   1  89   0   0|   0   538M|1035k 5460k|   0     0 |  58k   53k
 11   1  88   0   0|   0   466M|1910k 7414k|   0     0 |  76k   60k
 10   1  88   0   0|   0  6306k|1677k 7023k|   0     0 |  68k   64k
 10   1  89   0   0|   0  4256k|1340k 6563k|   0     0 |  65k   60k
 12   1  87   0   0|   0    38M|1148k 6112k|   0     0 |  60k   53k
 10   1  89   0   0|   0  9024k| 804k 5292k|   0     0 |  55k   53k
  9   1  89   0   0|   0  4301k|1227k 5542k|   0     0 |  57k   54k
 10   1  89   0   0|   0  5939k|1098k 6193k|   0     0 |  63k   61k
 10   1  89   0   0|   0  4309k|1123k 6091k|   0     0 |  58k   52k
 10   1  89   0   0|   0    45M|1041k 4971k|   0     0 |  54k   50k
 10   1  89   0   0|   0  6333k| 994k 5687k|   0     0 |  57k   55k
 10   1  89   0   0|   0  5315k|1219k 5523k|   0     0 |  61k   54k
 10   1  88   0   0|   0  5458k|1332k 6247k|   0     0 |  68k   62k
 11   1  88   0   0|   0  4413k|1096k 5357k|   0     0 |  57k   53k
 10   1  89   0   0|   0  4115k|1093k 5039k|   0     0 |  57k   51k
 10   1  89   0   0|   0  5813k|1228k 6053k|   0     0 |  63k   58k
 11   1  88   0   0|   0  4115k|1249k 5962k|   0     0 |  64k   55k
 10   1  88   0   0|   0  5006k| 947k 5730k|   0     0 |  57k   54k
  9   1  90   0   0|   0  3661k| 861k 5372k|   0     0 |  56k   53k
 10   2  88   0   0|   0    83M|1048k 6445k|   0     0 |  62k   62k
  9   1  89   0   0|   0  5745k| 959k 5690k|   0     0 |  57k   52k
 10   1  89   0   0|   0  5027k|1199k 6263k|   0     0 |  60k   55k
 10   1  89   0   0|   0  6866k|1323k 5869k|   0     0 |  65k   56k
 10   1  89   0   0|   0  3886k| 968k 5142k|   0     0 |  57k   53k
 10   1  89   0   0|   0  6048k|1051k 5452k|   0     0 |  59k   52k
 10   1  89   0   0|   0  5360k| 876k 4950k|   0     0 |  54k   49k
 10   1  89   0   0|   0  4856k|1394k 6184k|   0     0 |  59k   55k
 10   1  88   0   0|   0  4957k|1010k 6148k|   0     0 |  60k   59k
 10   1  89   0   0|   0  5587k|1070k 5997k|   0     0 |  61k   58k
 10   1  89   0   0|   0    81M|1225k 5720k|   0     0 |  58k   55k
 10   1  89   0   0|   0  5942k|1029k 5804k|   0     0 |  59k   55k
  9   1  89   0   0|   0  4899k| 910k 5500k|   0     0 |  55k   52k
  9   1  90   0   0|   0  4799k|1433k 6205k|   0     0 |  68k   59k
  9   1  89   0   0|   0  5171k| 905k 5296k|   0     0 |  56k   52k
 10   1  89   0   0|   0  6141k| 982k 4955k|   0     0 |  54k   48k
 11   1  87   0   0|   0  4933k| 988k 5504k|   0     0 |  60k   55k
 11   1  88   0   0|   0  4256k|1305k 5482k|   0     0 |  60k   54k
  9   1  90   0   0|   0  4128k|1183k 6048k|   0     0 |  62k   57k
  9   2  89   0   0|   0  6413k|1046k 6300k|   0     0 |  63k   63k
  9   1  90   0   0|   0    78M| 962k 5210k|   0     0 |  56k   51k
  9   1  89   0   0|   0  6426k|1287k 5813k|   0     0 |  59k   54k
 10   2  89   0   0|   0  5235k|1073k 6309k|   0     0 |  61k   59k
 10   1  89   0   0|   0  3856k|1270k 5691k|   0     0 |  66k   55k
 10   1  89   0   0|   0  6181k|1165k 5777k|   0     0 |  62k   55k
 10   1  89   0   0|   0  5331k|1212k 5427k|   0     0 |  57k   51k
  9   1  90   0   0|   0  5432k|1012k 5614k|   0     0 |  57k   53k
  9   1  89   0   0|   0  5392k| 800k 5368k|   0     0 |  55k   56k
  9   1  90   0   0|   0  3662k|1081k 5943k|   0     0 |  62k   57k
  9   1  90   0   0|   0  5184k|1127k 5392k|   0     0 |  56k   54k
  9   1  90   0   0|   0  5797k| 943k 4472k|   0     0 |  51k   44k
 10   2  88   0   0|   0    79M| 962k 6498k|   0     0 |  64k   65k
 12   2  86   0   0|   0  7251k|1128k 6196k|   0     0 |  67k   64k
